customer_name,opportunity_id,customer_id,Product,qty,price,Earliest_Year,Latest_Year,cluster_class,cluster_class_name,Web_act1_time_bckt1,Web_act1_time_bckt2,Web_act1_time_bckt3,Web_act1_time_bckt4,Web_act1_time_bckt5,Web_act2_time_bckt1,Web_act2_time_bckt2,Web_act2_time_bckt3,Web_act2_time_bckt4,Web_act2_time_bckt5,Web_act3_time_bckt1,Web_act3_time_bckt2,Web_act3_time_bckt3,Web_act3_time_bckt4,Web_act3_time_bckt5,num_support_req_time_bckt1,num_support_req_time_bckt2,num_support_req_time_bckt3,num_support_req_time_bckt4,num_support_req_time_bckt5,num_pos_chat_time_bckt1,num_pos_chat_time_bckt2,num_pos_chat_time_bckt3,num_pos_chat_time_bckt4,num_pos_chat_time_bckt5,num_neg_chat_time_bckt1,num_neg_chat_time_bckt2,num_neg_chat_time_bckt3,num_neg_chat_time_bckt4,num_neg_chat_time_bckt5,num_pos_email_time_bckt1,num_pos_email_time_bckt2,num_pos_email_time_bckt3,num_pos_email_time_bckt4,num_pos_email_time_bckt5,num_neg_email_time_bckt1,num_neg_email_time_bckt2,num_neg_email_time_bckt3,num_neg_email_time_bckt4,num_neg_email_time_bckt5,num_pos_tweets_time_bckt1,num_pos_tweets_time_bckt2,num_pos_tweets_time_bckt3,num_pos_tweets_time_bckt4,num_pos_tweets_time_bckt5,num_neg_tweets_time_bckt1,num_neg_tweets_time_bckt2,num_neg_tweets_time_bckt3,num_neg_tweets_time_bckt4,num_neg_tweets_time_bckt5,Revenue,num_days_ss1,num_days_ss2,num_days_ss3,num_days_ss4,num_days_ss5,num_days_ss6,current_ss,days_in_curr_ss,opentasks_time_bckt1,opentasks_time_bckt2,opentasks_time_bckt3,opentasks_time_bckt4,opentasks_time_bckt5,num_closed_tsk_time_bckt1,num_closed_tsk_time_bckt2,num_closed_tsk_time_bckt3,num_closed_tsk_time_bckt4,num_closed_tsk_time_bckt5,num_sp_pos_com_time_bckt1,num_sp_pos_com_time_bckt2,num_sp_pos_com_time_bckt3,num_sp_pos_com_time_bckt4,num_sp_pos_com_time_bckt5,num_sp_neg_com_time_bckt1,num_sp_neg_com_time_bckt2,num_sp_neg_com_time_bckt3,num_sp_neg_com_time_bckt4,num_sp_neg_com_time_bckt5,opportunity_value,OverAll_Sum_of_shipped_qty,OverAll_Sum_of_tot_net_amt,Number_of_periods_sold,Total_Periods_of_activity,% of time product sold,pred_run_date,distance_to_centroid,qfi_overall,qfi-web_intra,qfi-hd-intra,qfi-crm-intra,qfi-sh-intra,qfi-sm-intra,qfi-web-inter,qfi-hd-inter,qfi-crm-inter,qfi-sh-inter,qfi-sm-inter
"ALBAUGH, INC.*",10048,48,openfix,5,295,201004,201210,0,MOST LIKELY,80,96,96,60,146,83,116,116,90,174,41,26,13,25,17,1,2,2,2,5,5,2,2,0,1,2,3,4,0,2,1,3,3,1,0,0,1,2,1,1,1,1,4,2,1,1,1,1,0,1,1475,15,27,20,22,11,23,6,23,0,0,0,3,3,1,1,2,2,3,0,1,3,1,3,3,3,0,2,0,1475,62,18290,21,30,0.7,,,,,,,,,,,,,
ALBEMARLE CORPORATION,10049,49,zonair,8,125,200912,201311,0,MOST LIKELY,53,64,64,40,98,64,89,89,90,114,37,73,26,42,17,3,1,1,1,0,2,5,1,5,3,3,1,2,5,0,3,0,3,1,2,1,3,2,3,2,4,5,2,0,0,2,3,1,2,2,1000,17,13,14,11,12,0,5,12,1,1,0,1,1,3,2,2,1,5,2,3,1,0,4,1,2,2,1,4,1000,49,6125,19,47,0.4,,,,,,,,,,,,,
ALEN USA,10050,50,zonair,8,125,200601,201506,3,SOMEWHAT UNLIKELY,92,111,111,69,170,96,135,135,103,205,19,20,22,12,9,2,2,1,2,2,1,1,1,1,1,1,2,0,1,0,5,5,1,5,3,2,1,2,1,1,1,2,1,5,2,1,1,1,0,2,1000,25,12,23,11,16,16,6,16,0,2,3,0,1,2,1,3,1,5,3,0,3,1,1,1,1,3,1,1,1000,32,4000,109,113,0.96,,,,,,,,,,,,,
ALISTAGEN CORPORATION,10051,51,solbam,10,85,201201,201301,3,SOMEWHAT UNLIKELY,96,115,115,72,176,99,139,139,115,201,31,95,14,29,18,4,1,5,0,4,1,2,1,2,1,1,1,1,3,2,1,1,0,2,2,1,1,4,2,3,0,2,0,0,2,0,2,1,0,0,850,17,20,17,11,11,21,6,21,1,3,3,0,2,1,3,1,0,5,2,1,0,0,4,0,2,2,2,0,850,75,6375,3,12,0.25,,,,,,,,,,,,,
"ALLCHEM PERFORMANCE PRODUCTS, LP*",10052,52,Statip,13,100,200603,201312,3,SOMEWHAT UNLIKELY,99,119,119,74,184,104,146,146,93,240,37,74,24,18,40,1,1,0,1,2,0,1,1,1,0,4,3,0,1,3,1,0,0,0,2,4,5,0,0,2,2,0,0,4,2,2,3,2,2,0,1300,12,13,18,14,0,0,4,14,3,0,3,2,5,0,2,1,2,0,3,1,0,2,3,2,3,2,3,4,1300,98,9800,21,93,0.23,,,,,,,,,,,,,
"ALLIANCE TRADING, INC.",10053,53,Voyalight,15,150,200610,201202,0,MOST LIKELY,63,75,75,47,117,79,110,110,76,176,49,62,43,23,39,0,1,0,0,1,1,1,0,0,1,1,2,1,1,1,2,1,0,4,1,3,0,2,1,0,1,3,2,2,1,0,1,5,1,1,2250,24,14,0,0,0,0,2,14,3,0,3,2,0,3,0,3,1,4,2,2,2,1,0,3,2,1,2,2,2250,22,3300,8,64,0.13,,,,,,,,,,,,,
"ALLIGARE, LLC",10054,54,mathstring,6,195,200612,201507,0,MOST LIKELY,61,73,73,45,111,73,102,102,56,176,40,28,9,9,22,2,0,1,1,0,2,0,5,0,3,0,0,1,1,1,1,3,1,2,1,2,0,1,2,2,5,2,1,4,2,5,2,3,3,1,1170,27,22,18,24,0,0,4,24,2,2,0,1,1,3,1,3,0,4,3,2,2,1,2,3,0,0,2,4,1170,57,11115,84,103,0.82,,,,,,,,,,,,,
ALPHA CHEMICAL SERVICES INC.,10055,55,mathstring,8,195,200601,201404,3,SOMEWHAT UNLIKELY,109,131,131,82,201,118,165,165,116,260,12,37,35,29,32,1,2,3,2,3,2,0,4,2,1,2,1,0,0,0,3,0,3,1,0,1,0,2,5,5,2,0,5,5,0,1,0,3,3,2,1560,26,15,22,17,0,0,4,17,1,2,0,3,2,3,3,1,3,3,0,2,0,3,4,1,3,3,2,1,1560,98,19110,99,99,1,,,,,,,,,,,,,
"ALPHA SCENTS, INC.",10056,56,signtouch,20,395,200709,201311,3,SOMEWHAT UNLIKELY,118,141,141,88,219,128,180,180,106,305,15,65,29,28,56,2,5,1,2,0,1,0,2,4,2,3,0,0,3,0,1,1,0,3,1,2,3,1,3,1,2,4,1,5,3,2,1,1,4,0,7900,28,13,18,29,28,18,6,18,2,0,2,1,3,1,0,1,0,4,1,3,0,2,4,2,3,2,3,2,7900,56,22120,36,74,0.49,,,,,,,,,,,,,
"ALPHA TECH PET, INC.",10057,57,mathstring,7,195,201110,201110,3,SOMEWHAT UNLIKELY,101,121,121,75,185,110,155,155,102,251,32,64,28,28,12,3,2,0,0,2,0,2,4,1,0,1,0,1,2,1,4,1,3,0,3,2,1,0,1,0,0,2,1,2,3,4,1,0,5,3,1365,16,11,11,29,0,0,4,29,3,1,3,2,1,1,0,2,2,2,3,3,1,0,1,0,3,2,2,0,1365,50,9750,1,0,1,,,,,,,,,,,,,
ALPHA WATER SYSTEMS INC.,10058,58,zonair,10,125,200809,201403,3,SOMEWHAT UNLIKELY,118,142,142,89,218,129,180,180,138,275,27,12,20,66,35,3,2,2,1,3,5,0,4,2,1,4,1,2,0,0,2,2,2,2,1,0,2,1,1,1,2,1,3,1,3,0,0,3,1,0,1250,16,12,24,17,17,22,6,22,0,3,2,0,3,0,1,3,0,4,3,1,0,2,4,3,3,0,0,0,1250,37,4625,35,66,0.53,,,,,,,,,,,,,
ALPHARMA INC.,10059,59,apstring,6,90,201109,201304,3,SOMEWHAT UNLIKELY,102,123,123,77,189,103,144,144,108,223,46,26,13,34,33,0,2,0,2,2,1,2,2,1,1,5,5,3,0,0,0,3,3,0,1,1,3,2,0,0,2,3,2,2,1,1,0,0,2,1,540,23,30,0,0,0,0,2,30,3,0,1,3,0,0,0,2,3,5,3,3,3,2,0,0,2,3,0,2,540,36,3240,12,19,0.63,,,,,,,,,,,,,
ALZCHEM AG,10060,60,signtouch,9,395,200601,201402,0,MOST LIKELY,73,88,88,55,136,84,118,118,89,182,33,59,41,26,25,3,3,1,0,0,2,2,1,2,1,2,2,0,2,0,1,0,3,1,2,0,2,2,1,2,0,1,2,0,4,3,2,0,1,1,3555,15,23,12,0,0,0,3,12,0,3,1,1,2,2,3,0,1,1,2,1,0,1,3,1,1,2,2,3,3555,81,31995,57,97,0.59,,,,,,,,,,,,,
AMBER CHEMICAL INC.,10061,61,solbam,15,85,201008,201507,3,SOMEWHAT UNLIKELY,84,101,101,63,154,98,137,137,83,229,35,47,41,26,13,1,3,2,0,0,2,1,1,1,1,3,0,1,1,2,1,1,1,0,3,1,2,2,2,1,1,1,2,5,1,1,2,3,5,1,1275,19,22,18,20,20,0,5,20,0,0,1,3,3,2,3,3,2,0,3,2,2,3,5,2,2,3,2,3,1275,46,3910,60,59,1.02,,,,,,,,,,,,,
"AMCOR MFG, INC.",10062,62,signtouch,17,395,200610,201507,0,MOST LIKELY,52,62,62,39,97,66,92,92,60,152,12,26,12,32,54,0,2,2,0,1,0,3,0,0,2,5,1,0,1,1,1,2,5,2,5,2,3,1,1,2,2,2,0,4,0,5,0,2,2,1,6715,22,18,16,0,0,0,3,16,3,0,0,3,1,3,1,0,3,1,3,1,1,2,0,2,0,3,3,0,6715,73,28835,105,105,1,,,,,,,,,,,,,
"AMERICAN AGRITECH, LLC D/B/A BOTANICARE",10063,63,apstring,8,90,200711,201407,3,SOMEWHAT UNLIKELY,105,126,126,79,195,111,155,155,110,245,45,50,41,42,36,0,1,5,0,3,0,1,0,4,0,2,1,3,2,1,2,5,3,1,3,1,2,1,2,1,0,1,5,2,0,1,0,1,3,0,720,17,11,13,0,0,0,3,13,1,0,3,0,5,0,2,3,0,0,2,0,3,2,3,0,0,1,0,1,720,71,6390,17,80,0.21,,,,,,,,,,,,,
AMERICAN CHEMET CORPORATION,10064,64,mathstring,10,195,200611,201206,3,SOMEWHAT UNLIKELY,113,135,135,84,208,124,174,174,119,279,20,24,31,32,10,3,1,2,1,0,0,1,3,5,3,0,1,4,2,1,3,1,0,1,0,1,1,2,3,0,0,2,1,0,3,0,3,1,0,2,1950,18,25,0,0,0,0,2,25,3,1,2,3,4,2,2,3,1,3,3,1,0,1,3,2,3,0,2,0,1950,100,19500,63,67,0.94,,,,,,,,,,,,,
AMERICAN CHEMICAL & SANITARY SUPPLY,10065,65,Voyalight,14,150,200602,201507,3,SOMEWHAT UNLIKELY,121,146,146,91,224,119,166,166,133,246,35,19,44,64,36,0,0,0,0,1,3,1,3,2,1,1,3,2,1,0,4,2,3,4,2,1,2,2,0,5,4,4,1,1,1,3,2,2,4,4,2100,19,12,28,24,0,0,4,24,3,3,1,3,5,2,0,1,0,1,0,3,3,2,4,2,0,0,2,5,2100,35,5250,114,113,1.01,,,,,,,,,,,,,
AMERICAN COVERS D/B/A HANDSTANDS,10066,66,zonair,12,125,200610,201507,2,SWING,100,119,119,75,184,111,155,155,120,233,40,50,11,55,43,0,1,4,0,1,3,0,1,1,1,1,4,3,0,0,1,3,5,3,1,2,4,3,2,1,0,1,0,1,1,3,2,1,1,5,1500,16,24,17,20,10,18,6,18,1,0,1,3,1,2,3,1,2,0,1,3,0,0,2,3,1,2,3,4,1500,74,9250,106,105,1.01,,,,,,,,,,,,,
AMERICAN EXTRACTS,10067,67,solbam,8,85,201110,201412,0,MOST LIKELY,65,78,78,49,120,75,105,105,88,150,16,33,9,51,24,2,3,3,1,0,1,1,5,2,2,2,0,1,3,2,1,1,2,2,1,1,3,0,2,1,2,0,3,0,1,1,4,1,4,2,680,12,15,14,14,22,0,5,22,3,0,1,3,0,2,2,3,1,0,1,2,3,1,3,1,3,3,2,5,680,33,2805,6,38,0.16,,,,,,,,,,,,,
AMERICAN SUPPLY COMPANY,10068,68,labfax,17,495,200806,201105,3,SOMEWHAT UNLIKELY,103,123,123,77,190,108,151,151,120,223,11,35,25,11,26,1,3,0,0,1,3,2,1,2,1,2,0,2,3,3,2,1,3,5,5,0,1,0,0,1,0,4,2,1,1,1,1,5,5,1,8415,26,12,0,0,0,0,2,12,1,2,1,3,5,3,2,0,3,1,3,0,3,2,4,2,2,2,1,5,8415,47,23265,31,35,0.89,,,,,,,,,,,,,
"AMERICAN VET SCIENCES, LLC",10069,69,signtouch,6,395,200601,201507,0,MOST LIKELY,81,97,97,61,151,89,125,125,104,181,18,41,22,13,30,0,0,5,1,2,2,1,0,1,0,1,0,0,0,5,0,3,1,2,1,2,1,5,1,1,1,0,1,0,1,0,1,5,4,4,2370,14,29,19,10,15,0,5,15,2,3,1,1,1,2,1,3,1,2,0,1,0,3,4,3,1,0,3,3,2370,29,11455,115,114,1.01,,,,,,,,,,,,,
AMERIFOODS TRADING COMPANY,10070,70,Statip,7,100,201009,201311,3,SOMEWHAT UNLIKELY,102,122,122,76,189,109,153,153,89,259,28,38,14,10,18,5,2,2,5,1,0,0,5,1,0,2,0,1,2,1,3,5,4,1,2,3,1,1,1,1,0,1,1,2,1,1,0,1,0,3,700,23,16,28,0,0,0,3,28,1,3,3,1,5,0,3,3,1,5,0,1,2,0,4,2,0,1,3,5,700,68,6800,27,38,0.71,,,,,,,,,,,,,
AMERISOURCEBERGEN,10071,71,apstring,11,90,200601,201205,0,MOST LIKELY,65,77,77,48,120,78,110,110,92,159,10,23,29,91,42,1,3,2,1,2,1,2,0,4,2,2,1,1,5,3,1,1,1,0,2,1,1,0,2,3,3,2,4,1,1,2,4,2,2,2,990,16,18,20,29,10,0,5,10,0,3,3,0,4,3,0,3,1,1,3,2,3,0,2,0,1,1,2,1,990,20,1800,36,76,0.47,,,,,,,,,,,,,
"AMREP, INC.",10072,72,openfix,20,295,200901,201507,3,SOMEWHAT UNLIKELY,117,140,140,88,215,127,178,178,123,284,17,26,24,32,6,1,1,2,2,2,0,5,3,1,0,4,0,2,2,1,1,3,2,1,0,3,4,0,0,1,1,1,0,2,5,1,0,2,2,2,5900,20,30,20,14,0,0,4,14,3,2,0,0,0,3,3,0,0,2,3,2,0,0,1,2,1,2,0,3,5900,29,8555,71,78,0.91,,,,,,,,,,,,,
"AMREP, INC.",10072,72,openfix,20,295,200901,201507,0,MOST LIKELY,67,80,80,50,125,76,106,106,78,164,15,46,28,49,13,0,0,1,2,2,2,4,2,1,2,1,3,1,0,1,1,5,0,5,1,1,3,1,2,0,2,2,4,2,3,2,1,2,1,2,5900,20,30,20,14,0,0,4,14,3,2,0,0,0,3,3,0,0,2,3,2,0,0,1,2,1,2,0,3,5900,29,8555,71,78,0.91,,,,,,,,,,,,,
"AMREP, INC.",10072,72,openfix,20,295,200808,201103,3,SOMEWHAT UNLIKELY,117,140,140,88,215,127,178,178,123,284,17,26,24,32,6,1,1,2,2,2,0,5,3,1,0,4,0,2,2,1,1,3,2,1,0,3,4,0,0,1,1,1,0,2,5,1,0,2,2,2,5900,20,30,20,14,0,0,4,14,3,2,0,0,0,3,3,0,0,2,3,2,0,0,1,2,1,2,0,3,5900,99,29205,28,31,0.9,,,,,,,,,,,,,
"AMREP, INC.",10072,72,openfix,20,295,200808,201103,0,MOST LIKELY,67,80,80,50,125,76,106,106,78,164,15,46,28,49,13,0,0,1,2,2,2,4,2,1,2,1,3,1,0,1,1,5,0,5,1,1,3,1,2,0,2,2,4,2,3,2,1,2,1,2,5900,20,30,20,14,0,0,4,14,3,2,0,0,0,3,3,0,0,2,3,2,0,0,1,2,1,2,0,3,5900,99,29205,28,31,0.9,,,,,,,,,,,,,
"AMREP, INC.",10073,73,Statip,9,100,200609,201507,3,SOMEWHAT UNLIKELY,117,140,140,88,215,127,178,178,123,284,17,26,24,32,6,1,1,2,2,2,0,5,3,1,0,4,0,2,2,1,1,3,2,1,0,3,4,0,0,1,1,1,0,2,5,1,0,2,2,2,900,29,24,22,23,26,29,6,29,3,0,1,2,3,3,0,2,1,2,0,2,0,1,2,1,0,3,0,2,900,21,2100,106,106,1,,,,,,,,,,,,,
"AMREP, INC.",10073,73,Statip,9,100,200609,201507,0,MOST LIKELY,67,80,80,50,125,76,106,106,78,164,15,46,28,49,13,0,0,1,2,2,2,4,2,1,2,1,3,1,0,1,1,5,0,5,1,1,3,1,2,0,2,2,4,2,3,2,1,2,1,2,900,29,24,22,23,26,29,6,29,3,0,1,2,3,3,0,2,1,2,0,2,0,1,2,1,0,3,0,2,900,21,2100,106,106,1,,,,,,,,,,,,,
"AMREP, INC.",10073,73,Statip,9,100,201110,201110,3,SOMEWHAT UNLIKELY,117,140,140,88,215,127,178,178,123,284,17,26,24,32,6,1,1,2,2,2,0,5,3,1,0,4,0,2,2,1,1,3,2,1,0,3,4,0,0,1,1,1,0,2,5,1,0,2,2,2,900,29,24,22,23,26,29,6,29,3,0,1,2,3,3,0,2,1,2,0,2,0,1,2,1,0,3,0,2,900,29,2900,1,0,1,,,,,,,,,,,,,
"AMREP, INC.",10073,73,Statip,9,100,201110,201110,0,MOST LIKELY,67,80,80,50,125,76,106,106,78,164,15,46,28,49,13,0,0,1,2,2,2,4,2,1,2,1,3,1,0,1,1,5,0,5,1,1,3,1,2,0,2,2,4,2,3,2,1,2,1,2,900,29,24,22,23,26,29,6,29,3,0,1,2,3,3,0,2,1,2,0,2,0,1,2,1,0,3,0,2,900,29,2900,1,0,1,,,,,,,,,,,,,
"AMTECO, INC.",10074,74,solbam,20,85,201009,201507,0,MOST LIKELY,55,66,66,42,103,64,90,90,66,141,10,68,31,81,21,1,2,1,2,1,4,4,4,1,2,2,0,1,5,2,0,1,0,3,5,4,1,1,1,4,1,2,1,0,3,1,4,1,1,1,1700,27,26,0,0,0,0,2,26,1,3,2,0,0,1,0,1,1,5,3,0,0,1,0,3,3,1,0,0,1700,63,5355,59,58,1.02,,,,,,,,,,,,,
"AMTIDE, LLC",10075,75,signtouch,11,395,200602,201202,3,SOMEWHAT UNLIKELY,103,123,123,77,190,104,145,145,112,220,36,13,20,23,20,1,0,1,2,2,0,0,2,0,1,2,0,4,1,5,0,5,1,2,1,2,1,0,1,3,1,4,1,1,1,2,1,1,0,0,4345,19,22,12,0,0,0,3,12,3,0,2,1,4,2,2,2,0,0,0,1,3,1,5,1,3,3,2,5,4345,51,20145,49,72,0.68,,,,,,,,,,,,,
AMVAC CHEMICAL CORPORATION,10076,76,apstring,20,90,200702,201310,0,MOST LIKELY,63,75,75,47,116,75,105,105,65,177,45,55,12,35,23,1,2,0,1,1,1,2,0,0,0,1,1,4,0,1,1,4,3,2,3,1,2,2,0,2,2,2,2,1,1,0,1,1,1,5,1800,20,17,30,16,18,0,5,18,2,0,1,1,3,0,1,2,1,1,2,0,0,2,2,0,1,2,0,2,1800,78,7020,59,80,0.74,,,,,,,,,,,,,
"AN-FO PACIFICA, LLC",10077,77,apstring,6,90,200901,201410,3,SOMEWHAT UNLIKELY,111,133,133,83,207,111,155,155,128,228,14,43,48,10,27,0,0,3,1,0,2,0,0,4,1,3,3,2,1,1,1,5,0,1,1,0,2,2,1,1,2,2,1,2,1,1,2,0,4,1,540,27,26,26,22,0,0,4,22,3,3,1,2,5,0,0,3,3,0,3,2,0,0,4,1,0,0,0,5,540,54,4860,41,69,0.59,,,,,,,,,,,,,
ANDERMATT BIOCONTROL AG,10078,78,zonair,5,125,200610,201404,3,SOMEWHAT UNLIKELY,87,104,104,65,159,98,137,137,98,217,46,61,34,17,17,0,2,1,0,0,2,2,1,0,0,2,1,0,2,0,1,3,2,2,0,1,1,2,1,1,2,1,2,1,1,1,1,3,5,2,625,26,15,0,0,0,0,2,15,3,2,3,3,2,0,2,1,3,5,1,0,0,2,5,3,3,3,3,5,625,21,2625,30,90,0.33,,,,,,,,,,,,,
ANDERSON CHEMICAL COMPANY,10079,79,mathstring,8,195,200903,201504,0,MOST LIKELY,51,61,61,38,92,66,92,92,57,153,11,60,43,7,14,0,3,1,1,1,0,5,1,1,0,1,1,1,1,2,2,2,1,1,1,5,2,1,0,1,4,0,1,1,4,2,2,3,1,0,1560,19,23,10,17,0,0,4,17,2,3,2,2,2,2,2,1,3,5,3,1,0,1,5,0,0,1,2,4,1560,20,3900,26,73,0.36,,,,,,,,,,,,,
"ANDERSONS LAWN FERTILIZER DIVISION, INC., THE",10080,80,zonair,9,125,200601,201506,3,SOMEWHAT UNLIKELY,93,111,111,70,171,95,134,134,104,201,26,20,15,39,28,1,3,0,1,2,0,0,2,1,3,0,1,5,1,3,3,0,2,3,1,4,3,5,1,0,2,1,2,2,0,0,1,5,2,1,1125,16,21,13,15,16,14,6,14,2,0,2,3,1,2,0,1,0,1,0,2,0,0,4,3,1,3,1,4,1125,23,2875,109,113,0.96,,,,,,,,,,,,,
ANDIS COMPANY,10081,81,labfax,18,495,200808,201106,0,MOST LIKELY,62,74,74,46,114,70,97,97,90,133,21,47,43,12,30,3,2,5,0,3,3,0,2,0,0,2,3,2,1,2,1,0,2,1,1,2,3,2,3,2,0,0,2,0,3,4,2,4,1,2,8910,30,21,18,17,16,0,5,16,1,0,0,3,2,2,1,3,3,0,3,3,0,0,3,3,3,1,2,2,8910,71,35145,21,34,0.62,,,,,,,,,,,,,
ANGELINI PHARMA INC.,10082,82,signtouch,20,395,201103,201103,0,MOST LIKELY,66,79,79,50,123,83,116,116,62,201,44,22,32,7,33,1,1,0,1,1,1,0,2,1,2,1,0,4,0,1,1,2,5,0,0,1,3,1,2,2,3,3,0,0,1,1,2,0,1,0,7900,15,25,24,22,23,0,5,23,3,2,3,1,4,2,3,2,0,3,0,3,1,0,2,1,1,2,1,1,7900,50,19750,1,0,1,,,,,,,,,,,,,
ANIMAL DERMATOLOGY LABS.,10083,83,openfix,14,295,201109,201507,3,SOMEWHAT UNLIKELY,116,139,139,87,215,114,160,160,130,234,38,11,54,14,49,3,5,1,2,1,2,1,0,0,0,2,2,1,2,2,1,0,1,2,4,0,3,0,2,1,1,1,2,2,5,1,2,1,3,1,4130,23,18,13,21,10,0,5,10,0,1,1,3,1,0,1,1,2,1,0,2,1,1,2,1,3,1,1,4,4130,63,18585,47,46,1.02,,,,,,,,,,,,,
"ANIMAL PHARMACEUTICALS, INC.",10084,84,Statip,5,100,200601,201402,3,SOMEWHAT UNLIKELY,125,150,150,94,229,135,189,189,133,301,15,76,32,9,21,0,1,1,2,3,0,0,0,0,2,1,1,1,3,1,0,4,0,1,1,2,0,1,4,1,3,2,1,0,0,3,0,0,0,0,500,17,11,20,15,10,23,6,23,1,2,3,3,1,2,1,0,0,4,3,0,0,0,0,0,1,1,3,3,500,38,3800,81,97,0.84,,,,,,,,,,,,,
"ANODIA SYSTEMS, LLC",10085,85,Statip,6,100,201110,201110,0,MOST LIKELY,71,85,85,53,131,82,115,115,66,196,20,49,6,32,53,1,2,4,2,3,0,5,4,0,5,3,1,2,1,1,1,1,0,2,2,1,1,1,2,1,3,2,1,3,1,1,0,4,2,2,600,29,24,22,17,25,0,5,25,2,2,1,3,5,3,3,2,0,0,3,2,1,2,5,2,0,2,3,3,600,59,5900,1,0,1,,,,,,,,,,,,,
AP GOLDSHIELD LLC,10086,86,signtouch,6,395,200702,201507,3,SOMEWHAT UNLIKELY,105,125,125,78,194,104,145,145,115,218,12,67,30,20,22,0,0,1,1,3,1,5,0,5,0,1,5,2,2,0,3,2,0,3,0,1,1,3,1,1,1,0,0,2,2,1,1,3,0,1,2370,28,29,19,15,12,23,6,23,0,0,3,3,4,0,3,1,3,2,0,1,2,2,2,1,0,3,0,1,2370,70,27650,90,101,0.89,,,,,,,,,,,,,
"AP&G CO., INC.",10087,87,labfax,10,495,200908,201506,3,SOMEWHAT UNLIKELY,78,94,94,59,143,89,125,125,75,209,38,50,26,71,39,4,4,0,0,0,1,3,2,3,0,5,1,5,2,1,0,2,0,0,3,1,3,4,0,4,1,0,0,0,4,2,4,2,2,0,4950,18,10,22,0,0,0,3,22,3,1,3,3,4,2,1,3,0,1,0,1,0,2,3,2,2,0,2,4,4950,92,45540,23,70,0.33,,,,,,,,,,,,,
APEX CHEMICAL CORPORATION,10088,88,zonair,5,125,200602,201501,3,SOMEWHAT UNLIKELY,100,120,120,75,186,107,149,149,90,251,39,26,28,38,15,0,2,1,5,1,0,1,1,1,2,0,3,0,0,0,1,2,3,5,1,3,1,1,2,1,0,2,1,1,5,1,1,0,5,0,625,20,11,13,14,17,17,6,17,0,3,3,1,0,2,1,0,0,3,1,2,1,3,0,2,1,0,2,1,625,81,10125,34,107,0.32,,,,,,,,,,,,,
"APOLLO TECHNOLOGIES, INC.",10089,89,Statip,18,100,200601,201507,0,MOST LIKELY,69,83,83,52,129,76,106,106,102,140,43,54,10,58,42,1,5,1,0,0,1,0,5,3,1,1,2,1,1,0,3,1,1,0,5,3,0,3,5,1,2,3,3,1,1,1,1,3,2,2,1800,28,17,13,24,0,0,4,24,0,2,0,1,1,3,2,0,2,0,3,1,3,0,0,1,0,2,3,3,1800,79,7900,115,114,1.01,,,,,,,,,,,,,
"APTER INDUSTRIES, INC.",10090,90,apstring,7,90,200610,201507,3,SOMEWHAT UNLIKELY,86,103,103,65,159,102,143,143,111,217,32,42,47,23,30,0,1,1,0,1,1,2,1,1,5,0,1,1,5,2,0,0,0,0,0,0,1,0,1,1,2,1,1,5,2,0,0,3,5,0,630,28,11,19,26,0,0,4,26,2,3,0,0,3,3,2,2,0,3,0,3,1,2,0,3,0,1,1,4,630,26,2340,105,105,1,,,,,,,,,,,,,
"AQUA CLEAR INDUSTRIES, LLC.",10091,91,openfix,16,295,200806,201301,3,SOMEWHAT UNLIKELY,109,131,131,82,201,118,165,165,101,277,23,38,54,10,41,1,1,5,0,0,1,4,3,1,2,0,1,1,1,1,1,1,0,2,2,1,1,1,1,3,1,3,0,0,3,2,2,1,2,0,4720,26,29,0,0,0,0,2,29,1,2,0,3,4,2,3,3,0,1,1,0,0,1,3,2,2,0,0,5,4720,62,18290,50,55,0.91,,,,,,,,,,,,,
"AQUA SYSTEMS, INC.",10092,92,Voyalight,9,150,200806,201307,0,MOST LIKELY,56,68,68,42,104,77,108,108,66,179,18,31,33,30,17,0,3,0,2,1,0,4,1,1,0,2,4,2,0,1,1,1,0,3,1,4,1,2,1,2,5,3,3,0,0,3,1,0,0,2,1350,24,23,0,0,0,0,2,23,3,0,0,0,1,3,2,3,2,2,3,1,2,0,4,2,1,2,1,2,1350,47,7050,48,61,0.79,,,,,,,,,,,,,
AQUA TRI,10093,93,solbam,16,85,201007,201507,3,SOMEWHAT UNLIKELY,123,147,147,92,228,121,169,169,114,272,50,75,15,88,12,1,2,2,1,4,0,3,0,0,0,4,3,2,1,1,3,1,2,2,1,1,2,1,1,1,0,1,0,0,3,2,1,0,1,1,1360,19,19,26,20,0,0,4,20,1,3,1,2,3,2,0,1,2,5,3,1,2,0,2,2,0,0,1,5,1360,97,8245,58,60,0.97,,,,,,,,,,,,,
AQUA-CLOR S.A. DE C.V.,10094,94,openfix,6,295,200712,201305,3,SOMEWHAT UNLIKELY,97,116,116,73,179,107,150,150,91,250,19,41,34,21,35,1,5,1,3,2,0,1,1,0,4,2,0,1,2,1,3,0,1,2,2,1,1,1,1,2,4,0,2,2,3,2,0,0,0,0,1770,27,23,19,28,13,0,5,13,2,3,3,1,1,3,1,1,2,5,1,3,0,2,0,1,2,0,3,2,1770,59,17405,25,65,0.38,,,,,,,,,,,,,
